stage,L_c,M_K,n_axis,robust,hard_gate,single_peak,x_F,x_E,xF_minus_xE,theta_max_deg,min_mu_minus_theta_deg,min_sin_angle_interior,flip_interior,crossings
coarse,36.5,2.5,600,False,True,True,91.61651076735352,36.9246047142746,54.69190605307892,16.860273486915727,0.4675899660080055,0.055614900596108574,0,0
coarse,36.5,2.6,600,False,True,True,91.61651080260272,36.9246047142746,54.69190608832812,16.934826860803486,0.5040819802035975,0.056046571815724436,0,0
coarse,36.5,2.7,600,False,True,True,91.61651084132299,36.9246047142746,54.69190612704839,17.046952171613466,0.5176801299171179,0.05655067226776246,0,0
coarse,36.5,2.8,600,False,True,True,91.61651088379593,36.9246047142746,54.691906169521324,17.19084166787167,0.5014507539817739,0.05698116484636121,0,0
coarse,36.5,2.9,600,False,True,True,91.61651093033174,36.9246047142746,54.69190621605714,17.360830491582814,0.4613579343771459,0.05757477750447197,0,0
coarse,36.5,3.0,600,False,True,True,91.61651098127398,36.9246047142746,54.691906266999375,17.552581314101097,0.4000764237125076,0.05824225243339257,0,0
coarse,36.5,3.1,600,False,True,True,91.61651103700109,36.9246047142746,54.69190632272649,17.76271922413699,0.3208398050410436,0.05883125701265436,0,0
coarse,36.5,3.2,600,False,True,True,91.61651109793235,36.9246047142746,54.691906383657745,17.989155698217562,0.22524672300782309,0.059488739949366674,0,0
coarse,37.0,2.2,600,False,True,True,92.00097383857046,37.4246047142746,54.57636912429586,16.72930208260254,0.38690223103020915,0.054991050439752845,0,0
coarse,37.0,2.3,600,False,True,True,92.00097391598804,37.4246047142746,54.57636920171344,16.659830346005783,0.44173393841772834,0.05533549619755915,0,0
coarse,37.0,2.4,600,False,True,True,92.00097400093213,37.4246047142746,54.57636928665753,16.63445662020114,0.5027759073562476,0.05571645149064551,0,0
coarse,37.0,2.5,600,False,True,True,92.00097409397354,37.4246047142746,54.57636937969894,16.664511401148133,0.5585013614715519,0.05613643851352112,0,0
coarse,37.0,2.6,600,False,True,True,92.00097419573633,37.4246047142746,54.57636948146173,16.737119142359248,0.5971952128096547,0.056555658552564156,0,0
coarse,37.0,2.7,600,False,True,True,92.00097430690494,37.4246047142746,54.576369592630336,16.847005980408145,0.6124027351560686,0.05706623296912768,0,0
coarse,37.0,2.8,600,False,True,True,92.00097442823005,37.4246047142746,54.57636971395545,16.98892061615423,0.6020039653768303,0.05762835449252729,0,0
coarse,37.0,2.9,600,False,True,True,92.00097456053726,37.4246047142746,54.57636984626266,17.15826786498334,0.5658447835873448,0.05810594719628693,0,0
coarse,37.0,3.0,600,False,True,True,92.00097470473546,37.4246047142746,54.576369990460854,17.350268737534094,0.5061075992931416,0.05877916922113801,0,0
coarse,37.0,3.1,600,False,True,True,92.00097486182956,37.4246047142746,54.57637014755496,17.562653299668064,0.42576622014512644,0.059379987129463435,0,0
coarse,37.0,3.2,600,False,True,True,92.00097503293188,37.4246047142746,54.576370318657276,17.7968397324823,0.3280751516661985,0.06005077312900927,0,0
coarse,37.5,2.2,600,False,True,True,92.67488868330139,37.9246047142746,54.75028396902679,16.55757098072555,0.47025578243011473,0.05549255813703284,0,0
coarse,37.5,2.3,600,False,True,True,92.6748886984649,37.9246047142746,54.7502839841903,16.486174310733453,0.5303287028503612,0.055845408616912263,0,0
coarse,37.5,2.4,600,False,True,True,92.67488871501794,37.9246047142746,54.75028400074334,16.457698258728836,0.5869423153555933,0.05627779587816915,0,0
coarse,37.5,2.5,600,False,True,True,92.67488873306326,37.9246047142746,54.750284018788655,16.476273845317237,0.644121831367089,0.056710359550209345,0,0
coarse,37.5,2.6,600,False,True,True,92.674888752714,37.9246047142746,54.750284038439396,16.539902303172997,0.6884744016988796,0.05718624459522633,0,0
coarse,37.5,2.7,600,False,True,True,92.67488877409491,37.9246047142746,54.75028405982031,16.645001976779366,0.7111260025943273,0.05756809738347221,0,0
coarse,37.5,2.8,600,False,True,True,92.67488879734287,37.9246047142746,54.75028408306827,16.78612325557779,0.7036013905349565,0.058141296818505626,0,0
coarse,37.5,2.9,600,False,True,True,92.67488882260538,37.9246047142746,54.75028410833078,16.958164381185743,0.6688452201185499,0.05863009461506782,0,0
coarse,37.5,3.0,600,False,True,True,92.6748888500477,37.9246047142746,54.75028413577309,17.155860157356464,0.6105038537794616,0.059316492199488514,0,0
coarse,37.5,3.1,600,False,True,True,92.67488887985155,37.9246047142746,54.75028416557695,17.375978344680924,0.5316019913408165,0.05992895750887971,0,0
coarse,37.5,3.2,600,False,True,True,92.67488891221757,37.9246047142746,54.75028419794297,17.615629848492954,0.4353814818086259,0.0606132617616695,0,0
